,50,10,20,25,30,40,60,70,75,80,90
Code,Median,10,20,25,30,40,60,70,75,80,90
K02000001,24937,8182,13019,15532,17552,21037,29271,34585,37767,41457,54266
K03000001,25000,8189,13037,15576,17600,21102,29400,34716,37920,41670,54602
K04000001,25011,8166,13015,15572,17599,21114,29477,34868,38082,41909,55114
E92000001,25169,8179,13044,15614,17663,21228,29645,35027,38357,42236,55741
E12000001,22602,7993,12607,14907,16679,19560,26126,30605,33329,36523,45580
E06000005,23658,9485,12941,14477,17491,19765,26927,31688,35224,36935,x
E06000001,20999,x,x,x,15068,17776,24115,27699,x,x,x
E06000002,22177,7988,13398,14869,16749,19547,24834,28473,32068,34176,x
E06000003,20241,x,x,x,x,17345,23844,x,x,x,x
E06000004,23693,8206,13177,15417,17466,20432,27852,32030,34717,x,x
E06000047,22489,8024,12920,15327,17287,19385,26076,30968,34181,37363,44917
E06000057,19439,x,x,x,12209,15598,22433,26084,29186,x,x
E11000007,23213,8387,13550,15744,17484,20119,26987,31297,34156,37239,47001
E08000037,22450,7052,12738,15322,16788,19003,25723,30931,33209,35404,x
E08000021,24082,8819,14600,16314,17925,20592,27947,33534,37031,40022,x
E08000022,24463,x,x,16353,18053,21489,27918,31499,33850,x,x
E08000023,18889,5704,10556,11919,13892,16853,22215,26322,28481,31250,x
E08000024,23317,8753,13496,15556,17632,20204,26662,30295,33236,35883,x
E12000002,23484,8242,12984,15300,17073,20059,27284,32172,35322,38842,48839
E06000008,21717,8316,12970,15396,17238,19235,24603,30059,32759,35603,x
E06000009,21167,x,x,x,15315,17957,24430,28348,x,x,x
E06000006,24979,8117,12970,16038,17597,21545,28687,34594,38172,x,x
E06000007,23853,7803,12935,16091,17734,21029,27513,32693,35399,38975,49854
E06000049,24819,7406,11995,14463,17011,21110,28243,33301,35808,39785,x
E06000050,23251,8705,12818,15776,17540,19841,27355,33875,37431,41060,x
E10000006,23813,7984,12718,14717,16647,19393,27973,33084,36029,39522,x
E07000026,19147,7335,9508,12003,14479,17185,23316,26362,30332,33571,x
E07000027,31637,11102,16472,19915,21935,27422,35986,39545,44492,x,x
E07000028,21098,7784,12489,14118,15809,18609,25191,29413,32067,34284,x
E07000029,37734,9195,15262,17551,21220,28274,43732,50411,52429,53605,x
E07000030,21392,x,10034,12391,14408,18667,23796,28783,30246,x,x
E07000031,20779,x,x,x,x,x,x,x,x,x,x
E11000001,23917,8478,13580,15784,17462,20448,27663,32394,35495,38880,48792
E08000001,20977,8367,12008,13970,15635,18413,24998,29875,32488,x,x
